Date,Time,AM/PM,Sender,Message
4/17/20,9:51,PM,- Kakarot,: are progge ?
4/17/20,9:51,PM,- Bublasaur,: what
4/17/20,9:51,PM,- Bublasaur,: no
4/17/20,9:51,PM,- Bublasaur,: i just had my period
4/17/20,9:52,PM,- Kakarot,: oh
4/17/20,9:52,PM,- Kakarot,: okey
4/17/20,9:52,PM,- Bublasaur,: i just told u
4/17/20,9:55,PM,- Kakarot,: okey
4/17/20,9:55,PM,- Kakarot,: oh
4/17/20,10:16,PM,- Kakarot,: i had food
4/17/20,10:16,PM,- Kakarot,: i am gonn walk
4/17/20,10:17,PM,- Kakarot,: walk as if my life depends on it
4/17/20,10:17,PM,- Bublasaur,: Pretty hardcore
4/17/20,10:17,PM,- Kakarot,: also skipping is fun
4/17/20,10:17,PM,- Kakarot,: aaj i skipped then did 30dc
4/17/20,10:17,PM,- Bublasaur,: noice
4/17/20,10:17,PM,- Kakarot,: kaafi free movement tha body ka
4/17/20,10:18,PM,- Kakarot,: proper warm up
4/17/20,10:18,PM,- Bublasaur,: warm up ho jatah
4/17/20,10:18,PM,- Bublasaur,: Yes
